a,w,a_change,w_change
14,2,1.9596046100000006,2.7287224439999997
14,3,0.5706583749999998,3.2737401107500004
14,4,-0.4985256760000006,2.7406570472
14,5,-2.460581539666667,3.3983175686666662
14,6,1.446110548,2.9379204593
14,7,2.1646569799999997,2.2398077823076923
14,8,3.413440188260869,2.9613752696086952
14,9,2.7106141347999992,2.7585507072400004
14,10,2.3605820782926825,2.941185612682927
14,11,2.3076535863999994,2.3252386716
14,12,1.349540503214286,2.2383770260714284
14,13,1.0979408142105265,2.218704842631579
14,14,1.176151220526316,2.1862003305263156
14,15,1.7661645335483869,2.808333171935484
14,16,1.5344245223809518,2.1388869580952377
14,17,1.4389870409090908,2.01676622939394
14,18,1.7116275830555554,2.1097766738888892
14,19,1.2068133638235292,2.62090555
14,20,1.36294075725,3.63907933875
14,21,0.8301552745263155,3.3287348418421057
14,22,0.782003215116279,3.173141245813953
14,23,0.8276038780399998,3.254293202200001
14,24,0.9217794569999997,3.9157939855555552
14,25,0.5131091908333333,2.1621938633333326
14,26,0.3242177600000001,2.7784776415384607
14,27,0.21198530923076925,2.235569175
14,28,0.6728485363888892,3.053248165555556
14,29,0.7488880060000007,2.9764559229999983
15,-15,0.8488662300000005,4.873662935999999
15,-11,0.11705176999999978,3.677823942
15,-10,3.2580338750000015,0.37684608799999975
15,-9,3.0858466499999997,-0.13431931900000027
15,-8,5.589678095,2.7928672119999995
15,-7,2.8190848850000005,0.07678376800000031
15,-6,3.856396058,3.4271575647999994
15,-5,4.60029713,1.4578307500000005
15,-4,3.760712895000001,-0.052007763833333165
15,-3,3.4430473640000003,1.8176159411999997
15,-1,2.44587931,1.9395365145999999
15,0,7.297754473333334,-0.5709076036666666
15,1,3.47794027,2.6423785202499994
15,2,2.1981581602000007,2.7414750661999996
15,3,2.1238380859999997,0.7301808193999999
15,4,0.6295274066666666,3.1293504033333335
15,5,-0.6337569249999997,3.013556081
15,6,2.17854587,2.6234196582500005
15,7,2.14825497,3.2951123094166666
15,8,3.031818359130434,3.195361759782609
15,9,2.32729312875,2.4584966477500005
15,10,1.5942519147058822,3.0274246607647055
15,11,1.4586501831578946,2.490862732421053
15,12,0.759243545,2.7598550983333334
15,13,1.1072319106250001,2.579930754375
15,14,0.8048755763636365,3.6933845009090915
15,15,1.24039047,2.9707959999999995
15,16,2.1544352500000006,3.181678196190476
15,17,1.8805883274074078,2.0578451218518525
15,18,1.9462762247058825,2.2380162502941174
15,19,1.7799323025925928,2.562822033333333
15,20,1.3112095159999995,2.6206405031999997
15,21,1.2007602154166663,3.9971349066666666
15,22,0.8391073593333331,3.4967903556666666
15,23,0.44802585146341456,3.1264429041463413
15,24,0.41985814346153855,2.0359774792307688
15,25,0.7078874811111111,1.5678611416666666
15,26,0.9360589672000004,1.8732043736000004
15,27,0.8084958868421053,2.2207803694736836
15,28,0.35145597222222297,2.1214602466666665
15,29,-0.23296507250000031,1.2352518450000014
16,-15,1.1683845600000033,3.5136771100000015
16,-14,4.610134760000001,3.125945100000001
16,-13,0.7890293999999969,3.6162127500000008
16,-12,1.8804081000000004,-0.10388252999999992
16,-11,2.8452000450000003,0.7779868004999999
16,-10,3.25721766,1.776020423333333
16,-9,0.430348780000001,1.075395485
16,-8,5.429932960000002,-0.19499874600000044
16,-7,4.931681435,1.334097791125
16,-6,-0.09151810000000005,5.505919213
16,-5,6.2526741825,2.5717420964999995
16,-4,3.543444558,2.4369013232
16,-3,2.499510008,0.9995202964000001
16,-2,4.760563269999999,1.1380439260000002
16,-1,5.8578754563636375,-1.1584475499999998
16,0,4.7071368399999995,0.09847224719999988
16,1,2.921536955,1.7458157615
16,2,1.9874272912500006,3.9003793856249995
16,3,3.529458942,1.5962879004000001
16,4,0.5920926080000009,2.6500843137999994
16,5,0.10732638750000056,2.5523888045
16,6,1.4574124383333338,2.458276681833333
16,7,2.3022254592307694,3.1434575500000004
16,8,0.3584252491666671,2.5348667378333336
16,9,1.2437763914285718,3.2206339765
16,10,0.5315029838461542,2.4482897146153846
16,11,0.3834652179999999,2.847013154
16,12,0.07968497249999984,2.6504857587500004
16,13,0.5813047516666668,2.756454318333333
16,14,1.0962204886666664,2.229543782666667
16,15,1.7618775000000004,2.550149114375
16,16,1.8663410303999999,2.6567010476000004
16,17,1.6417387449999998,3.5181418100000004
16,18,2.0759508735294117,3.000620207058823
16,19,2.2480869866666664,2.0716933846666667
16,20,2.3914195616666665,1.2039103508333333
16,21,1.1214606839999992,1.428087555
16,22,1.473796575789473,1.5034858078947366
16,23,0.5668986384999999,2.0711771510000005
16,24,0.13691415666666618,2.0933257944444437
16,25,0.7079871264285712,1.6151279364285716
16,26,1.4734019441666668,1.9596543466666667
16,27,-0.18465317500000006,2.6012248409999996
17,-17,2.5759401550000014,3.2466783149999996
17,-16,3.349153515000001,0.15191577500000086
17,-15,3.3987932433333348,0.9751210199999996
17,-14,1.3789180866666666,2.348357977666667
17,-13,2.650436093333333,4.166989155333333
17,-12,1.594923415000002,1.1455802375
17,-11,2.9932878575000004,3.1012525700000007
17,-10,4.58502863375,2.2090841456250003
17,-9,4.556704753999999,2.7780852062
17,-8,4.069761843749999,0.5224143308749999
17,-7,4.015706755,1.2983974267499996
17,-6,3.801193020000001,0.1600643622500003
17,-5,1.3580446674999997,2.99975023125
17,-4,4.8503153887499995,-1.395359518125
17,-3,5.626356671666666,-0.8625784474999998
17,-2,4.263205495555556,1.809805923
17,-1,5.6935204425000006,-2.3679865125
17,0,3.3857763226666666,1.5523914782
17,1,2.970601238888889,1.8149918284444446
17,2,3.0425725066666676,3.316725195333334
17,3,2.6205410500000004,2.827130523571429
17,4,3.009562973750001,2.17400427775
17,5,1.7497941163636368,2.382983122909091
17,6,0.6736311565000002,3.708203931600001
17,7,1.28939359117647,2.785302216529412
17,8,1.2565593833333335,3.6864591575555554
17,9,0.870837453157895,2.5743877578947374
17,10,2.3531600182352945,2.2294623774705884
17,11,0.4729343023529411,2.639580363529412
17,12,1.2876668594117644,3.0532231541176476
17,13,1.7546930600000006,2.245278444210526
17,14,2.1546208738461545,2.3104723553846154
17,15,3.5095054931578944,2.72357096263158
17,16,3.0783124210000006,3.5506002019999996
17,17,1.8193328113333331,2.682485237999999
17,18,2.9962582612499995,1.7423368562500001
17,19,0.8297224446153842,1.9184631030769235
17,20,2.3772310258333342,1.336433850833333
17,21,2.1484419228571423,0.7609676814285719
17,22,1.9693784799999996,1.9198521233333323
17,23,2.77704724875,2.25246224
17,24,2.743058323333333,0.9916180300000015
17,25,2.4858941725,0.7208276949999997
17,26,1.4298831066666668,1.7518390649999993
17,27,0.24475571333333215,2.615288516666665
18,-22,3.665217459999999,2.6081340199999996
18,-21,2.793407760000001,4.13470637
18,-20,3.7900390633333334,2.362493948333333
18,-19,3.896843352,2.6639275899999997
18,-18,2.6115777525000006,2.4163772150000007
18,-17,2.6230755850000005,2.3471195600000003
18,-16,0.7289591200000007,3.1462363499999997
18,-15,1.5819005200000003,1.6682086033333328
18,-14,2.1722651716666674,1.9496536538333338
18,-13,1.7315524400000015,1.9495648995000003
18,-12,0.6811529466666677,2.7336906909999996
18,-11,3.5624042833333327,4.0636682885
18,-10,3.363596470000001,2.417692288333334
18,-9,4.83622068,3.4351406753333342
18,-8,2.8171271749999995,4.764411382666667
18,-7,1.1635348944444446,2.0004177882222223
18,-6,3.7292922878571426,0.7685591042142857
18,-5,-1.0835857199999999,3.0450429324
